French,English
essence,essence
pencher,lean
artiste,artist
coin,corner
tension,tension
don,don
uniforme,uniform
fidèle,faithful
grève,strike
achat,purchase
mentionner,mention
exécution,execution
distinguer,distinguish
exploiter,to exploit
administratif,administrative
effectif,effective
communautaire,community
individuel,individual
faciliter,facilitate
original,original
surprise,surprise
veiller,watch
dette,debt
capitale,capital city
maintien,maintenance
chanter,to sing
pension,pension
revue,review
clore,close
neige,snow
figure,figure
masse,mass
susceptible,susceptible
étroit,narrow
goût,taste
prestation,benefit
régner,to reign
catastrophe,disaster
ressortir,come out
exploitation,exploitation
manifestation,demonstration
dormir,sleep
lit,bed
bouche,stuffy
excuse,excuse
veille,standby
content,happy
rassurer,to reassure
triste,sad
latin,latin
classique,classic
alliance,alliance
préoccupation,concern
trace,trace
logement,lodging
langage,speech
plainte,complaint
chaud,hot
taire,to hush up
émotion,emotion
judiciaire,judicial
progresser,progress
secours,rescue
confronter,to confront
strict,strict
club,club
ouvrier,worker
souffrance,suffering
observation,observation
rétablir,to re-establish
immeuble,building
passion,passion
rupture,breakup
office,office
compliquer,complicate
assumer,to assume
partiel,partiel
éprouver,experience
rendez-vous,appointment
argument,argument
planète,planet
maire,mayor
délicat,delicate
attentat,bombing
boire,to drink
richesse,wealth
caisse,box
hasard,chance
héros,hero
oreille,ear
incident,incident
café,coffee
annonce,announcement
régulièrement,regularly
pont,bridge
foutre,cum
apercevoir,to notice
refléter,reflect
bouger,to move
foule,crowd
chrétien,christian
isoler,isolate
norme,standard
égalité,equality
tenue,outfit
animer,animate
statistique,statistical
piste,track
préserver,preserve
hommage,tribute
inférieur,inferior
match,match
pointe,point
gouvernemental,governmental
exécuter,execute
tragédie,tragedy
distribution,distribution
scandale,scandal
irakien,iraqi
chinois,chinese
bénéfice,profit
billet,ticket
choc,shock
proportion,proportion
canal,channel
briser,to break
destruction,destruction
reculer,to move back
critère,criteria
gardien,guardian
adresse,address
réception,reception
conservateur,conservative
ouais,yeah
transporter,carry
brûler,burn
manœuvre,maneuver
monnaie,change
transmission,transmission
quelconque,any
courrier,mail
grandir,growing up
élaborer,elaborate
doigt,finger
illustrer,illustrate
poche,poached
affronter,confront
éclater,to burst
honte,shame
faiblesse,weakness
fédération,federation
presser,squeeze
mêler,mix
bonheur,happiness
formuler,formulate
crier,yell
pauvreté,poverty
bâtiment,building
époux,husband
médicament,medication
firme,firm
élargir,to broaden
électeur,elector
plonger,dip
véhicule,vehicle
fuir,to run away
chercheur,searcher
varier,vary
personnalité,personality
inventer,invent
principalement,principally
prudence,caution
stade,stadium
liaison,connection
consultation,consultation
québécois,quebecer
ordonner,to order
bonjour,hello
morale,moral
contester,challenge
nécessairement,necessarily
détermination,determination
congrès,congress
semblable,similar
préoccuper,concern
dépôt,deposit
considération,consideration
multiplier,multiply
dame,lady
joie,joy
durable,sustainable
faim,hunger
excuser,excuse
recommander,recommend
concept,concept
cerveau,brain
truc,thing
allié,ally
scolaire,school
arabe,arab
diffuser,broadcast
budgétaire,budgetary
inquiétant,disturbing
inclure,include
style,style
combler,to fill in
ombre,shadow
annuler,to cancel
joueur,player
bloquer,to block
interprétation,interpretation
climat,climate
séjour,stay
guider,guide
spécialiser,specialize
ben,ben
sport,sport
amélioration,improvement
douleur,pain
issue,outcome
généreux,generous
absent,absent
talent,talent
normalement,normally
remarque,remark
détourner,divert
raisonnable,within reason
suprême,supreme
éventuel,possible
blesser,hurt
orientation,orientation
grec,greek
secondaire,secondary
reporter,report
partisan,supporter
cinquième,fifth
distinction,distinction
impact,impact
magazine,magazine
compléter,complete
mérite,deserved
naturellement,naturally
collaboration,collaboration
procurer,procure
officier,officer
remarquable,outstanding
efforcer,strive
tragique,tragic
anniversaire,anniversary
issu,output
poursuite,pursuit
nôtre,our
éclairer,light up
consommer,consume
infirmier,male nurse
caractéristique,characteristic
dépenser,spend
censé,supposed
fuite,leak
conviction,conviction
nettement,clearly
détenir,to possess
évaluation,evaluation
installation,facility
innocent,innocent
fameux,famous
cultiver,cultivate
doux,soft
gouverner,govern
jouir,enjoy
parcourir,browse
bloc,block
électrique,electric
seuil,threshold
croissant,increasing
classer,to classify
audience,audience
multiple,multiple
minorité,minority
phrase,phrasing
provisoire,provisional
hein,eh
disparition,disappearance
dynamique,dynamic
renverser,to spill
trouble,trouble
désoler,desolate
accélérer,accelerate
littérature,literature
résider,to reside
adolescent,teenager
dessiner,to draw
rompre,to break up
agriculture,agriculture
gouverneur,governor
aventure,adventure
armer,arm
volet,shutter
bâtir,to build
prime,prime
résulter,result
occupation,occupation
japonais,japanese
emmener,to take
alimentaire,eating
lecteur,reader
marin,marine
intermédiaire,intermediate
vœu,wish
dresser,to draw up
conception,design
afficher,to display
fragile,brittle
satisfaction,satisfaction
survenir,occur
publicité,advertising
arbre,tree
univers,universe
aéroport,airport
sauter,skip
chasse,hunt
collège,middle school
garantie,guarantee
morceau,piece
salarié,employee
discipline,discipline
explosion,blast
peau,skin
commande,ordered
orienter,orient
reproduire,reproduce
paragraphe,paragraph
radical,radical
transférer,to transfer
diffusion,diffusion
spécialement,especially
croître,grow
tolérer,tolerate
copie,copy
enseigner,teach
rédiger,write
magnifique,gorgeous
initial,initial
indice,index
promotion,promotion
branche,plugged
section,section
chanson,song
pair,peer
contraindre,constrain
trancher,to slice
réformiste,reformist
retarder,to delay
réjouir,rejoice
punir,to punish
repartir,divide
cellule,cell
déclencher,trigger
uni,united
connexion,connection
écouler,flow out
option,option
pétrole,oil
laboratoire,laboratory
étrange,odd
coucher,to sleep
département,department
génie,genius
profession,occupation
rumeur,rumor
mien,mine
drôle,funny
plat,dish
maman,mom
incertitude,uncertainty
célébrer,to celebrate
dignité,dignity
légitime,legit
philosophie,philosophy
verre,glass
spécifique,specific
docteur,doctor
hausser,rack
fréquence,frequency
urgent,urgent
trou,hole
stratégique,strategic
mental,mental
éditeur,editor
provincial,provincial
casser,to break
probable,likely
signature,signature
forcément,necessarily
conformément,in accordance
croiser,cross
plastique,plastic
autonome,autonomous
héritage,legacy
voyager,travel
électronique,electronic
parallèle,parallel
répartir,divide
courageux,courageous
réveiller,wake
satellite,satellite
ordinateur,computer
fondé,based
blessé,hurt
municipal,municipal
salut,hello
songer,think
enfance,childhood
là-dessus,on this
merveilleux,marvellous
sien,his
commenter,comment
inciter,encourage
prière,pray
nécessiter,require
urbain,urban
musée,museum
pluie,rain
précaution,precautionary
anticiper,to anticipate
cheval,horse
communiqué,communicated
suicide,suicide
rivière,river
avertir,to warn
rédaction,writing
enceinte,pregnant
substance,substance
soigner,cure
récit,narrative
revendication,claim
incroyable,unbelievable
sondage,survey
mineur,minor
composition,composition
débarrasser,rid
accusation,charge
invitation,invitation
présidentiel,presidential
concurrent,competitor
prévu,intended
suisse,swiss
franchement,frankly
paiement,payment
comparaison,comparison
musulman,muslim
déplacement,shift
légal,legal
dispositif,device
constitutionnel,constitutional
contrainte,constraint
tarder,delay
refaire,remake
pleurer,cry
débattre,discuss
immigration,immigration
cancer,cancer
lâcher,let go
cercle,circle
génétique,genetic
importation,import
tonne,tonne
dieu,god
référendum,referendum
perdu,lost
obligé,obligatory
visiteur,visitor
remporter,win
rond,round
étage,stage
intense,intense
bébé,baby
amitié,friendship
cinquante,fifty
zéro,zero
drame,drama
visible,visible
haine,hate
instance,instance
cérémonie,ceremony
ambition,ambition
recourir,resort
sanction,sanction
géant,giant
jardin,garden
nourriture,food
engendrer,generate
infrastructure,infrastructure
adversaire,opponent
africain,african
royal,royal
mobile,mobile
significatif,significant
circulation,traffic
cotisation,contribution
entente,agreement
cheveu,hair
ralentir,to slow down
cadeau,present
affirmation,affirmation
requérir,require
destination,destination
stabilité,stability
louer,to rent out
gars,guys
fleur,flower
agriculteur,farmer
poète,poet
fabrication,manufacturing
vin,wine
soudain,suddenly
balle,ball
inflation,inflation
sec,dry
arrêté,stopped
enfermer,enclose
abattre,tear down
paysan,peasant
transition,transition
humanitaire,humanitarian
répandre,spread
adoption,adoption
adorer,love
appartement,apartment
session,session
entamer,to initiate
ménage,housework
purement,purely
enjeu,stakes
passager,passenger
transformation,transformation
calculer,calculate
misère,misery
légèrement,slightly
écraser,to crush
enrichir,enrich
restaurant,restaurant
destin,fate
discrimination,discrimination
certitude,certainty
huile,oil
sacré,sacred
autonomie,autonomy
sac,bag
stock,stock
invoquer,invoke
compromettre,to compromise
arracher,to tear out
sombre,dark
barre,closed off
contradiction,contradiction
maîtriser,to master
violer,violate
souveraineté,sovereignty
épargner,save
concentration,concentration
téléphonique,telephone
remise,delivery
mec,dude
solidarité,solidarity
restreindre,restrict
décennie,decade
aussitôt,right away
officiellement,officially
chasser,hunt
dîner,having dinner
personnellement,personally
fréquenter,frequent
projeter,project
littéraire,literary
présider,preside
fortune,fortune
malheureux,unfortunate
numérique,digital
combattant,fighter
soupçonner,suspect
merde,shit
entrepreneur,entrepreneur
exposition,exposure
marchand,merchant
cri,shout
féminin,feminine
désert,desert
vêtement,clothes
autrefois,in the old days
surmonter,overcome
marchandise,merchandise
autochtone,native
continent,continent
définitivement,definitively
heureusement,fortunately
digne,worthy
guide,guide
tabac,tobacco
rendement,yield
ampleur,extent
pleinement,fully
désastre,disaster
joli,attractive
promouvoir,promote
écho,echo
fusion,fusion
innovation,innovation
sélection,selection
confondre,to confuse
honnête,honest
tournant,turning point
automobile,automotive
collectivité,community
record,record
excessif,excessive
ridicule,ridiculous
modalité,modality
paquet,pack
fondation,foundation
terroriste,terrorist
retrait,withdrawal
organe,organ
protocole,protocol
apparition,appearance
gain,gain
écran,screen
sonner,ring
protester,protest
curieux,curious
effacer,wipe off
débuter,start
creuser,to dig
allusion,allusion
lancement,launch
porteur,carrier
préalable,prior
programmer,program
traîner,hang out
domicile,residence
oiseau,bird
quarante,forty
sacrifice,sacrifice
barrière,fence
biais,bias
feuille,sheet
délégation,delegation
épuiser,exhaust
champion,champion
librement,freely
congé,leave
taxe,tax
onze,eleven
téléphoner,call
serrer,to squeeze
caractériser,characterize
préparation,preparation
inverse,reverse
intituler,title
possession,possession
rejet,rejection
enseignant,teacher
avérer,prove
papa,father
collaborateur,collaborater
gêner,embarrass
technicien,technician
cycle,cycle
accumuler,accumulate
sauvage,savage
alcool,alcohol
prétexte,pretext
impressionnant,impressive
scénario,script
électricité,electricity
gratuit,free
révolutionnaire,revolutionary
jambe,leg
insuffisant,insufficient
privilège,privilege
week-end,weekend
équivalent,equivalent
regrouper,gather
invité,guest
militant,activist
participant,participant
blessure,wound
privilégier,favor
midi,midday
disque,disk
couche,layer
dater,date
habituer,get used to
inévitable,inevitable
recommencer,restart
race,breed
vivement,strongly
beauté,beauty
atmosphère,atmosphere
épaule,shoulder
amoureux,lover
circonscription,constituency
debout,upright
influencer,influence
recul,decline
mortel,deadly
flux,flow
horizon,horizon
délivrer,issue
subvention,grant
formel,formal
aggraver,aggravate
lait,milk
alimenter,feed
intelligent,clever
équilibrer,to balance
bibliothèque,library
absurde,absurd
océan,ocean
quelques-uns,some
dicter,to dictate
tenant,holding
stable,steady
capitaine,captain
solliciter,solicit
convoquer,convene
prévention,prevention
terrestre,earthly
utilisateur,user
obligatoire,obligatory
terminal,terminal
choquer,chock
primaire,primary
vital,vital
destinée,destiny
patrimoine,inheritance
conforme,consistent
adjoint,assistant
ultime,ultimate
intégration,integration
rarement,rarely
couler,to flow
diversité,diversity
amuser,amuse
complémentaire,additoinal
satisfaisant,satisfying
accueil,welcome
camion,truck
douloureux,sore
glisser,slide
prêtre,priest
indication,indication
exagérer,overdo it
décès,death
parisien,parisian
psychologique,psychological
réviser,revise
profil,profile
rater,to fail
respectif,respective
tranquille,calm
registre,register
contemporain,contemporary
exclusif,exclusive
performance,performance
angle,angle
divorce,divorce
fermeture,closing
affaiblir,weaken
constamment,constantly
horreur,horror
envahir,to invade
pétrolier,tanker
faculté,ability
brillant,bright
pacte,pact
suspect,suspicious
lent,slow
assistance,assistance
négliger,neglect
injuste,unfair
plaider,argue
récompenser,reward
suppression,deletion
coupure,cut
glace,ice
gare,station
drapeau,flag
réparer,to fix
sensibilité,sensitivity
jaune,yellow
existant,existing
procureur,prosecutor
informatique,computer science
restriction,restriction
pacifique,peaceful
bête,stupid
indicateur,indicator
racine,root
compenser,compensate for
maritime,maritime
gravité,severity
pénétrer,enter
civilisation,civilization
rouler,to roll
technologique,technological
heurter,to hit
football,soccer
décevant,disappointing
législation,legislation
approprier,appropriate
tactique,tactical
thèse,thesis
acceptable,acceptable
surgir,arise
prince,prince
vidéo,video
semer,sow
créateur,creator
partenariat,partnership
file,line
chômeur,unemployed person
correct,correct
cuisine,kitchen
succéder,succeed
royaume,kingdom
rebelle,rebel
provenance,origin
fumer,to smoke
dessin,drawing
viande,meat
paramètre,setting
gré,grateful
dessous,under
voyageur,traveler
réaliste,realistic
condamnation,conviction
similaire,similar
employeur,employer
paysage,countryside
discret,discreet
longueur,length
lentement,slowly
miracle,miracle
déboucher,unclog
illégal,illegal
expansion,expansion
mutuel,mutual
sage,wise
commandement,commandment
correspondant,corresponding
grimper,to climb
pause,pause
répartition,division
sacrifier,sacrifice
chimique,chemical
compétition,competition
combiner,combine
touriste,tourist
ravir,delight
pardon,sorry
filet,net
atomique,atomic
contribuable,taxpayer
progressivement,gradually
progression,progress
nez,nose
antérieur,prior
inacceptable,unacceptable
progressif,progressive
adhésion,membership
portrait,portrait
détailler,to give detail
valable,valid
coordination,coordination
sportif,jock
rose,pink
quête,quest
compromis,compromise
investisseur,investor
présumer,assume
abandon,abandonment
identique,identical
exploser,explode
mensonge,lying
défaite,defeat
meurtrier,murderer
rigoureux,rigorous
mentir,lie
fréquent,frequent
œuf,egg
ambassadeur,ambassador
observateur,observer
revêtir,put on
accessoire,accessory
acquisition,acquisition
tournée,tour
tranche,slice
plage,beach
inspecteur,inspector
tempête,storm
tissu,tissue
souverain,sovereign
distinct,distinct
survie,survival
repousser,repel
adaptation,adaptation
plante,plant
nuire,harm
putain,whore
imagination,imagination
accusé,accused
repérer,spot
directive,directive
rural,rural
persister,persist
coalition,coalition
diplomatique,diplomatic
excellence,excellency
apparence,appearance
oriental,oriental
écriture,writing
parcours,journey
républicain,republican
embarquer,embark
révolte,revolt
intéressé,interested
formidable,tremendous
tas,pile
déjeuner,lunch
disputer,argue
élite,elite
malheur,misfortune
aube,dawn
salon,living room
infliger,inflict
repos,rest
déranger,to bother
inhabituel,unusual
interdiction,prohibition
consentir,consent
variable,variable
médecine,medicine
contradictoire,contradictory
exclusivement,exclusively
cible,target
détenu,detained
volontiers,gladly
fauteuil,armchair
couloir,corridor
enthousiasme,enthusiasm
télé,tv
éthique,ethics
révision,revision
pointer,point
assassiner,murder
optimiste,optimistic
instaurer,set up
isolé,isolated
revendiquer,claim
secouer,shake
bizarre,weird
abus,abuse
procédé,process
pêcheur,fisherman
amateur,amateur
regret,regret
accroissement,increase
trimestre,trimester
onde,wave
spatial,spatial
brut,raw
éventuellement,"most often is ""possibly"""
vache,cow
gris,grey
aise,easy
agression,assault
loisir,leisure
chaleur,heat
ranger,tidy
partage,share
étoile,star
mystère,mystery
quasi,almost
description,description
serbe,serbian
biologique,organic
universitaire,university
emparer,take over
dent,tooth
neutre,neutral
aîné,elder
trahir,to betray
intelligence,intelligence
admirer,admire
licence,licence
rigueur,rigor
maternel,maternal
métal,metal
palais,palace
belge,belgian
brutal,brutal
extraire,extract
signification,meaning
filer,spin
automatique,automatique
accrocher,to hang up
pain,bread
plateau,plateau
répétition,repetition
diminution,decrease
collection,collection
gène,embarrassed
permanence,permanence
reine,queen
privatisation,privatization
correspondance,correspondence
planter,plant
strictement,strictly
violation,breach
compensation,compensation
lycée,high school
con,stupid
combinaison,combination
injustice,injustice
reportage,reportage
déception,disappointment
soucier,worry
plafond,ceiling
opérateur,operator
camarade,comrade
traduction,translation
compréhension,understanding
réglementation,regulations
déplorer,deplore
mobiliser,mobilize
encadrer,supervise
gentil,kindly
folie,madness
terrorisme,terrorism
illusion,illusion
portefeuille,wallet
séduire,seduce
précipiter,precipitate
clôture,fencing
piloter,pilot
agréable,pleasant
télécommunication,telecommunication
désaccord,disagreement
uranium,uranium
aliment,food
alimentation,feed
pomme,apple
ingénieur,engineer
vider,empty
attentif,attentive
démarrer,to start up
coordonner,to coordinate
larme,tear
sourd,deaf
cigarette,cigarette
vallée,valley
artificiel,artificial
différer,to differ
honorer,to honour
entrevue,interview
ressort,spring
fixe,fixed
opportunité,opportunity
robe,dress
plaque,plaque
découler,result
décisif,decisive
piège,trap
prédire,to predict
enterrer,bury
refuge,refuge
recouvrir,cover
pente,slope
album,album
mixte,mixed
clinique,clinical
spectateur,spectator
axe,axis
chasseur,hunter
chéri,dear
peinture,paint
déchet,waste
siéger,sit
grand-chose,great
temporaire,temporary
affiche,attach
massacre,massacre
actualité,news
redevenir,become again
crucial,crucial
marine,marine
cadavre,corpse
fleuve,river
toit,roof
mécanique,mechanical
transparence,transparency
amorcer,start
détester,to hate
fondateur,founder
charte,charter
productivité,productivity
succession,succession
simplifier,simplify
briller,shine
ambitieux,ambitious
sale,dirty
consentement,consent
chapeau,hat
calmer,calm
mythe,myth
alternative,alternative
soulager,to relieve
scrutin,ballot
culpabilité,guilt
considérablement,considerably
bouleverser,upset
introduction,introduction
dramatique,dramatic
vaincre,overcome
pétition,petition
renseigner,to inform
ordonnance,arrangement
aile,wing
température,temperature
coupe,chopped off
rayon,ray
lèvre,lip
promener,to walk
boulot,gig
correctement,properly
colonne,column
arranger,arrange
lointain,distant
danser,to dance
charbon,coal
passionner,passionate
colline,hill
poésie,poetry
généraliser,generalize
transaction,transaction
extrémité,end
pénal,criminal
économiste,economist
banlieue,suburb
bancaire,banking
défaire,to do
calendrier,calendar
repas,meal
cul,ass
vouer,dedicate
surprenant,surprising
paradis,heaven
transparent,transparent
élu,elected
tourisme,tourism
démonstration,demonstration
gravement,seriously
infraction,offense
tir,shot
envoi,mail
arrangement,arrangement
pardonner,to forgive
collaborer,work out
danse,dance
tester,test
proclamer,proclaim
genou,knee
dominant,dominant
péril,danger
préférence,preference
vain,vain
rentrée,back to school
coller,to stick on
monopole,monopoly
approfondir,deepen
incendie,fire
proximité,proximity
hélicoptère,helicopter
bouteille,bottle
championnat,championship
hériter,to inherit
élémentaire,elementary
entité,entity
souffler,blow
dit,said
mélange,mixed
pourcentage,percentage
permis,permit
mélanger,to mix together
proprement,properly
enfoncer,to press in
clandestin,clandestine
super,great
encontre,against
syndical,union
deviner,to guess
tracer,trace
sagesse,wisdom
baiser,kiss
user,use
enfer,hell
pilote,pilot
abonné,subscriber
objection,objection
correction,correction
vocation,vocation
facture,invoice
relancer,revive
luxe,luxury
nomination,nomination
poster,to post
bar,bar
tantôt,sometimes
publiquement,publicly
gueule,mouth
comparable,comparable
sympathie,sympathy
structurel,structural
dispenser,to dispense
copain,buddy
aligner,align
absorber,absorb
compagnon,companion
déroulement,course
dévoiler,to unveil
opérationnel,operational
freiner,curb
rattraper,catch up
matinée,morning
régir,to govern
poème,poem
bassin,bowl
éteindre,switch off
ministériel,ministerial
rage,rage
enregistrement,registration
débarquer,land
systématiquement,systematically
énormément,enormously
respirer,to breathe
dictature,dictatorship
acheteur,buyer
équiper,equip
édifice,building
lot,batch
fondement,foundation
spirituel,witty
fournisseur,vendor
détriment,detriment
unanime,unanimous
agiter,shake
élimination,elimination
nazi,nazi
col,collar
impressionner,impress
accessible,accessible
résidence,residence
dedans,inside
agressif,aggressive
loger,lodge
ouvertement,openly
patience,patience
stimuler,stimulate
classement,ranking
arrestation,arrest
longuement,longly
ancêtre,ancestor
intensité,intensity
grandeur,greatness
entraînement,coaching
déborder,overflow
conducteur,driver
pollution,pollution
islamique,islamic
attribution,attribution
caméra,camera
dissimuler,hide
chronique,chronic
ère,time
rappel,reminder
fabricant,maker
utilité,usefulness
ethnique,ethnic
annexe,annex
interlocuteur,interlocutor
spécifier,specify
souple,soft
rémunération,remuneration
faillite,bankruptcy
touchant,touching
hostile,hostile
imprimer,to print
abuser,abuse
vérification,verification
aveugle,blind
jurer,swear
trésor,treasure
vingtaine,around twenty
séquence,sequence
musicien,musician
routier,truck
embrasser,embrace
échéance,deadline
surplus,surplus
prématuré,premature
décrocher,to take down
rembourser,to reimburse
adhérer,adhere
défenseur,defender
citation,quote
reconstruction,reconstruction
retomber,fall back
pourvoir,provide
systématique,systematic
véritablement,truly
parallèlement,in parallel
légume,vegetable
francophone,french -speaking
émaner,emanate
souffle,breath
lac,lake
souhait,wish
prévaloir,prevail
sixième,sixth
enveloppe,envelope
extension,extension
effondrer,collapse
apprêter,prepare
anonyme,anonymous
cibler,target
additionnel,additional
excès,excess
douzaine,dozen
turc,turkish
incertain,uncertain
épouser,marry
consensus,consensus
chat,cat
avertissement,warning
excédent,surplus
mondialisation,globalization
conventionnel,conventional
unanimité,unanimity
romain,roman
inégalité,inequality
originaire,native
finale,final
mademoiselle,miss
coûteux,expensive
ventre,belly
soixante,sixty
bière,beer
passif,passive
interrogation,interrogation
voile,sail
accentuer,accentuate
rattacher,attach
manuel,manual
contracter,contract
territorial,territorial
subsister,subsist
carré,square
voleur,thief
centrale,central
pôle,pole
délit,offense
usager,user
musical,musical
allumer,to light up
quelquefois,sometimes
disperser,disperse
déchirer,rip
mépris,contempt
échantillon,sample
continuité,continuity
fichier,file
conquête,conquest
contourner,get around
supplément,extra charge
sincère,sincere
optique,optical
maximal,maximum
permission,permission
méchant,nasty
idéologie,ideology
interview,interview
désespoir,despair
humeur,mood
demandeur,applicant
horrible,horrible
conquérir,conquer
horaire,hourly
encouragement,encouragement
motiver,motivate
plier,bend
homologue,counterpart
successif,successive
manifestement,manifestly
olympique,olympic
littéralement,literally
reproduction,reproduction
propice,conducive
chèque,check
explorer,explore
matériau,material
dépendance,addiction
nu,naked
poignée,handle
abaisser,to lower
divergence,divergence
restant,remaining
détention,detention
étouffer,to choke
inscription,registration
montée,climb
approvisionnement,supply
municipalité,municipality
consécutif,consecutive
nuage,cloud
institutionnel,institutional
confédération,confederation
quiconque,anyone
vendeur,seller
réplique,replica
acquitter,pay
intervalle,interval
métro,subway
coutume,custom
fatiguer,tired
panique,panic
abriter,shelter
variété,variety
bulletin,bulletin
flotte,fleet
décourager,to discourage
poussière,dust
fierté,pride
épisode,episode
détacher,detach
interface,interface
administrateur,administrator
doucement,gently
quoique,though
projection,projection
treize,thirteen
antenne,antenna
tarif,rate
remplacement,replacement
devise,currency
optimisme,optimism
chanteur,singer
décret,decree
écrit,writing
suggestion,suggestion
queue,tail
durement,harshly
applaudir,applaud
sucre,sugar
prioritaire,priority
chair,flesh
exécutif,executive
compétent,competent
sable,sand
corruption,corruption
blé,wheat
chaos,chaos
référer,refer
obéir,to obey
fusil,musket
taper,type
cohérent,consistent
discrétion,discretion
odeur,odour
identification,identification
fêter,to celebrate
substantiel,substantial
asiatique,asian
aspiration,suction
photographie,photography
exclusion,exclusion
préconiser,proclaim
tribune,stand
bénéficiaire,beneficiary
historien,historian
seize,sixteen
tentation,temptation
gloire,glory
vanter,praise
coincer,stuck
silencieux,quiet
continu,continued
chantier,worksite
croyance,belief
ennui,boredom
pompier,firefighter
inspection,inspection
convertir,convert
pouce,inch
clientèle,customer base
atténuer,mitigate
révélation,revelation
survivant,survivor
applicable,applicable
équitable,fair
schéma,plan
acier,steel
vainqueur,winner
dépendant,addicted
sud-est,south east
brancher,connect
concession,concession
mystérieux,mysterious
assassinat,assassination
rive,shore
tolérance,tolerance
clarté,clarity
conjoint,joint
fermement,firmly
redonner,give back
assortir,match
change,exchange
star,star
grain,grain
compliqué,complicated
malaise,faintness
restaurer,restore
ambassade,embassy
diplôme,diploma
miroir,mirror
spectaculaire,spectacular
restructuration,restructuring
proie,prey
domination,domination
otage,hostage
moquer,mock
allier,combine
couvert,covered
demi-heure,half-hour
placement,placement
difficilement,hardly
grille,gate
vieillir,to get old
abord,on board
exigeant,demanding
primitif,primitive
lune,moon
mention,mention
pertinent,pertinent
brièvement,briefly
actionnaire,shareholder
emprisonner,to jail
raisonnement,reasoning
monstre,freak
quai,platform
légende,legend
spécialité,speciality
cruel,cruel
démission,resignation
quatorze,fourteen
redouter,to dread
médaille,medal
célibataire,single
impasse,dead end
contredire,contradict
atelier,workshop
amical,friendly
empire,empire
redresser,to sort out
invisible,invisible
ramasser,pick up
politicien,politician
acheminer,rummage
comédie,comedy
propagande,propaganda
colonie,colony
désordre,disorder
infini,infinite
savant,learned
terreur,terror
recruter,recruit
conformer,conform
virus,virus
reconnaissant,grateful
délibérer,deliberate
inattendu,unexpected
tunnel,tunnel
cousin,cousin
puiser,draw
géographique,geographical
réacteur,reactor
ajuster,adjust
œuvrer,work
sommeil,sleep
automatiquement,automatically
balance,balance
dépression,depression
pompe,pump
contestation,contestation
inconvénient,inconvenience
frein,brake
inspiration,inspiration
candidature,candidacy
armement,armament
épargne,saving
